artist,style,new_filename
d09f796f2b0aa11dffc88badd9806119,Romanticism,99442.jpg
20997d2fc9ef66fccb7225846c1e1ae4,Realism,28908.jpg
3a320926ef941d53716127548523450c,Romanticism,56906.jpg
7b5a9186df853ff921c211145ca5ab59,Realism,633.jpg
d09f796f2b0aa11dffc88badd9806119,Romanticism,81750.jpg
79f6b47483600c140c91e901f746a368,Realism,19834.jpg
7b5a9186df853ff921c211145ca5ab59,Realism,45276.jpg
74a1dad53214d04514269a188f16683a,Romanticism,75895.jpg
74a1dad53214d04514269a188f16683a,Realism,80938.jpg
5d6136636d3015e201f6096d67c89860,Romanticism,71952.jpg
5d6136636d3015e201f6096d67c89860,Romanticism,7020.jpg
74a1dad53214d04514269a188f16683a,Realism,23209.jpg
74a1dad53214d04514269a188f16683a,Realism,100829.jpg
a6027a4ba71b61a55ea598379c9d508c,Impressionism,95360.jpg
b3bba0de2a501bc4755d110916803ccb,Romanticism,3732.jpg
97495fb4212d9449d61c6d9fc3e6cc04,Romanticism,62387.jpg
0aa40001869bf1e86a1bdae741f79220,Romanticism,22404.jpg
f2e0bf35d07f3e838e2ff40956032ed3,Romanticism,41164.jpg
74a1dad53214d04514269a188f16683a,Realism,88558.jpg
1a8d67dbb446bdc4298cc0be56932a38,Impressionism,49757.jpg
74a1dad53214d04514269a188f16683a,Romanticism,45523.jpg
7b5a9186df853ff921c211145ca5ab59,Realism,17680.jpg
f2e0bf35d07f3e838e2ff40956032ed3,Romanticism,62013.jpg
74a1dad53214d04514269a188f16683a,Realism,47501.jpg
f2e0bf35d07f3e838e2ff40956032ed3,Romanticism,95342.jpg
b60aa1ea22ccf54d9fe50f892e9f28ab,Impressionism,53841.jpg
f2e0bf35d07f3e838e2ff40956032ed3,Romanticism,99889.jpg
7b5a9186df853ff921c211145ca5ab59,Realism,86917.jpg
82665201c4108381d854740ddcb86e67,Realism,5303.jpg
f2e0bf35d07f3e838e2ff40956032ed3,Romanticism,50480.jpg
5d6136636d3015e201f6096d67c89860,Romanticism,39644.jpg
74a1dad53214d04514269a188f16683a,Romanticism,101078.jpg
7b5a9186df853ff921c211145ca5ab59,Realism,49829.jpg
46200eee40e22039aef7a5944bb445c9,Realism,97649.jpg
f2e0bf35d07f3e838e2ff40956032ed3,Romanticism,46316.jpg
b60aa1ea22ccf54d9fe50f892e9f28ab,Impressionism,81912.jpg
74a1dad53214d04514269a188f16683a,Impressionism,17146.jpg
7b5a9186df853ff921c211145ca5ab59,Realism,31655.jpg
f2e0bf35d07f3e838e2ff40956032ed3,Romanticism,44054.jpg
