artist,style,new_filename
760e4eabd639621a3f81dabd57261139,Romanticism,54454.jpg
358474690052f63f9107c823b7a61686,Romanticism,87071.jpg
8a1a67964c0cbea29fc9801b5c42c553,Realism,39817.jpg
c16781c4321948227193214b68477a5c,Realism,85520.jpg
f2e0bf35d07f3e838e2ff40956032ed3,Romanticism,4742.jpg
f2e0bf35d07f3e838e2ff40956032ed3,Romanticism,10331.jpg
50591a7061fb340d875723f38e00cc3b,Impressionism,21276.jpg
4a30943bf6dd5da55d12ccd14aaff0d8,Realism,5429.jpg
345dc3f45c95d3fe04f8c192cc8ed8d2,Romanticism,33192.jpg
db1318d32df7428076e03513ebf762bb,Impressionism,48925.jpg
f14a3a6cc3112c9e92bc6c33c88eb264,Romanticism,98496.jpg
acd9b34941d5485b6ffcf6836e07149f,Romanticism,14968.jpg
605d22132f5e157ce5bc7bf91d6f8a1a,Realism,40246.jpg
54e7b38b5c91716bd3ad99a0ab740a18,Realism,59451.jpg
8b1800319323ab9b0ce2e0b11b3f4772,Romanticism,94284.jpg
7b5a9186df853ff921c211145ca5ab59,Realism,17485.jpg
5fc2ffdd3d24ab503edd9a271dc379bd,Realism,82619.jpg
54e7b38b5c91716bd3ad99a0ab740a18,Realism,73331.jpg
8b1800319323ab9b0ce2e0b11b3f4772,Romanticism,14673.jpg
f8eb8562e3a8e1961e35893052a3da7e,Realism,62024.jpg
a6027a4ba71b61a55ea598379c9d508c,Impressionism,99133.jpg
a6027a4ba71b61a55ea598379c9d508c,Impressionism,52238.jpg
1e0aa40ee8d2974b22344dd8f1bc6c0e,Romanticism,72449.jpg
16548363e96f1c64ca498fd00352df9a,Romanticism,56587.jpg
1a8d67dbb446bdc4298cc0be56932a38,Impressionism,28824.jpg
f2e0bf35d07f3e838e2ff40956032ed3,Romanticism,26233.jpg
3cc9a44380296d93e68b71a27643c25f,Impressionism,90572.jpg
5fc2ffdd3d24ab503edd9a271dc379bd,Realism,76860.jpg
3cc9a44380296d93e68b71a27643c25f,Impressionism,80463.jpg
3cc9a44380296d93e68b71a27643c25f,Impressionism,26042.jpg
3cc9a44380296d93e68b71a27643c25f,Impressionism,20090.jpg
3cc9a44380296d93e68b71a27643c25f,Romanticism,1431.jpg
bf1d0c9118c5c4d6973bfeb5d7657d83,Impressionism,100236.jpg
3cc9a44380296d93e68b71a27643c25f,Impressionism,16692.jpg
8babb43a3cc2521e4c1acf6ff1e12869,Realism,2764.jpg
300c247c7a4d15b038983f91b1f837e2,Impressionism,86549.jpg
54e7b38b5c91716bd3ad99a0ab740a18,Impressionism,20440.jpg
0d138ffcc570102982abc5b16d398107,Romanticism,5199.jpg
3cc9a44380296d93e68b71a27643c25f,Romanticism,81256.jpg
db1318d32df7428076e03513ebf762bb,Realism,2009.jpg
d8a3c897c506be7de91d8f892f14f934,Realism,65355.jpg
54e7b38b5c91716bd3ad99a0ab740a18,Realism,55888.jpg
3cc9a44380296d93e68b71a27643c25f,Impressionism,8521.jpg
3cc9a44380296d93e68b71a27643c25f,Impressionism,63776.jpg
3cbb44e1535a883c98f70588daf6163f,Romanticism,13613.jpg
f14a3a6cc3112c9e92bc6c33c88eb264,Romanticism,72536.jpg
a6027a4ba71b61a55ea598379c9d508c,Impressionism,98645.jpg
3cc9a44380296d93e68b71a27643c25f,Romanticism,83413.jpg
1a8d67dbb446bdc4298cc0be56932a38,Impressionism,16139.jpg
5d6136636d3015e201f6096d67c89860,Romanticism,56518.jpg
234c8d1df0b49b512791078cf00cf352,Impressionism,91127.jpg
d41c502f1b4faa29dcc0214c4e3dc33d,Romanticism,60553.jpg
a6027a4ba71b61a55ea598379c9d508c,Impressionism,62534.jpg
f319ab062993d276b4b67feef079992f,Realism,23268.jpg
3cc9a44380296d93e68b71a27643c25f,Impressionism,41649.jpg
54e7b38b5c91716bd3ad99a0ab740a18,Realism,14326.jpg
4a30943bf6dd5da55d12ccd14aaff0d8,Realism,97894.jpg
345dc3f45c95d3fe04f8c192cc8ed8d2,Romanticism,61899.jpg
24ed88087b0ffeb763e89a197a5cde0d,Impressionism,91655.jpg
a605a99aaac53ee97fb05dd6bbac6c28,Romanticism,13119.jpg
bf1d0c9118c5c4d6973bfeb5d7657d83,Impressionism,58658.jpg
a6027a4ba71b61a55ea598379c9d508c,Impressionism,14705.jpg
4a30943bf6dd5da55d12ccd14aaff0d8,Realism,22521.jpg
1a8d67dbb446bdc4298cc0be56932a38,Impressionism,61167.jpg
e60882af79cababb03ddfa980a75448c,Romanticism,982.jpg
a605a99aaac53ee97fb05dd6bbac6c28,Romanticism,58660.jpg
234c8d1df0b49b512791078cf00cf352,Impressionism,25493.jpg
925aa369b0793b82b0c79df590b98832,Romanticism,513.jpg
1a8d67dbb446bdc4298cc0be56932a38,Impressionism,11233.jpg
59de3736472ee967b4997432abd29ef2,Impressionism,59845.jpg
d8a3c897c506be7de91d8f892f14f934,Realism,48334.jpg
d8a3c897c506be7de91d8f892f14f934,Realism,39872.jpg
54e7b38b5c91716bd3ad99a0ab740a18,Realism,32817.jpg
3cc9a44380296d93e68b71a27643c25f,Romanticism,35626.jpg
79f6b47483600c140c91e901f746a368,Realism,53267.jpg
f8eb8562e3a8e1961e35893052a3da7e,Realism,4899.jpg
234c8d1df0b49b512791078cf00cf352,Impressionism,72602.jpg
