artist,style,new_filename
d09f796f2b0aa11dffc88badd9806119,Romanticism,99442.jpg
20997d2fc9ef66fccb7225846c1e1ae4,Realism,28908.jpg
3a320926ef941d53716127548523450c,Romanticism,56906.jpg
7b5a9186df853ff921c211145ca5ab59,Realism,633.jpg
d09f796f2b0aa11dffc88badd9806119,Romanticism,81750.jpg
79f6b47483600c140c91e901f746a368,Realism,19834.jpg
7b5a9186df853ff921c211145ca5ab59,Realism,45276.jpg
74a1dad53214d04514269a188f16683a,Romanticism,75895.jpg
74a1dad53214d04514269a188f16683a,Realism,80938.jpg
5d6136636d3015e201f6096d67c89860,Romanticism,71952.jpg
5d6136636d3015e201f6096d67c89860,Romanticism,7020.jpg
74a1dad53214d04514269a188f16683a,Realism,23209.jpg
74a1dad53214d04514269a188f16683a,Realism,100829.jpg
a6027a4ba71b61a55ea598379c9d508c,Impressionism,95360.jpg
b3bba0de2a501bc4755d110916803ccb,Romanticism,3732.jpg
97495fb4212d9449d61c6d9fc3e6cc04,Romanticism,62387.jpg
0aa40001869bf1e86a1bdae741f79220,Romanticism,22404.jpg
f2e0bf35d07f3e838e2ff40956032ed3,Romanticism,41164.jpg
74a1dad53214d04514269a188f16683a,Realism,88558.jpg
1a8d67dbb446bdc4298cc0be56932a38,Impressionism,49757.jpg
74a1dad53214d04514269a188f16683a,Romanticism,45523.jpg
7b5a9186df853ff921c211145ca5ab59,Realism,17680.jpg
f2e0bf35d07f3e838e2ff40956032ed3,Romanticism,62013.jpg
74a1dad53214d04514269a188f16683a,Realism,47501.jpg
f2e0bf35d07f3e838e2ff40956032ed3,Romanticism,95342.jpg
b60aa1ea22ccf54d9fe50f892e9f28ab,Impressionism,53841.jpg
f2e0bf35d07f3e838e2ff40956032ed3,Romanticism,99889.jpg
7b5a9186df853ff921c211145ca5ab59,Realism,86917.jpg
82665201c4108381d854740ddcb86e67,Realism,5303.jpg
f2e0bf35d07f3e838e2ff40956032ed3,Romanticism,50480.jpg
5d6136636d3015e201f6096d67c89860,Romanticism,39644.jpg
74a1dad53214d04514269a188f16683a,Romanticism,101078.jpg
7b5a9186df853ff921c211145ca5ab59,Realism,49829.jpg
46200eee40e22039aef7a5944bb445c9,Realism,97649.jpg
f2e0bf35d07f3e838e2ff40956032ed3,Romanticism,46316.jpg
b60aa1ea22ccf54d9fe50f892e9f28ab,Impressionism,81912.jpg
74a1dad53214d04514269a188f16683a,Impressionism,17146.jpg
7b5a9186df853ff921c211145ca5ab59,Realism,31655.jpg
f2e0bf35d07f3e838e2ff40956032ed3,Romanticism,44054.jpg
f2e0bf35d07f3e838e2ff40956032ed3,Romanticism,79781.jpg
e60882af79cababb03ddfa980a75448c,Romanticism,82310.jpg
1e0aa40ee8d2974b22344dd8f1bc6c0e,Romanticism,39533.jpg
f2e0bf35d07f3e838e2ff40956032ed3,Romanticism,95359.jpg
342d7068656b00878b23e1031a3ddf50,Impressionism,5241.jpg
b223caa3b80154b3741fff3af42566c9,Romanticism,25503.jpg
f2e0bf35d07f3e838e2ff40956032ed3,Romanticism,89279.jpg
fd49efbf7ff085035ed05b97d1cdcd12,Realism,55948.jpg
b5d68c68efa0917dc276558a88dfee56,Realism,8362.jpg
d8a3c897c506be7de91d8f892f14f934,Realism,9348.jpg
d2a12d1486da7fdfeb74b488075cf1f6,Romanticism,25251.jpg
74a1dad53214d04514269a188f16683a,Impressionism,8943.jpg
5d6136636d3015e201f6096d67c89860,Romanticism,35557.jpg
74a1dad53214d04514269a188f16683a,Realism,17862.jpg
7b5a9186df853ff921c211145ca5ab59,Realism,40855.jpg
608e86021cb827b9056f11e0a01073c7,Realism,393.jpg
8e9d1d01c1a6615a3b71ce6b963a5b1b,Romanticism,1049.jpg
bf1d0c9118c5c4d6973bfeb5d7657d83,Realism,254.jpg
b60aa1ea22ccf54d9fe50f892e9f28ab,Impressionism,8250.jpg
5d6136636d3015e201f6096d67c89860,Romanticism,47312.jpg
5d6136636d3015e201f6096d67c89860,Romanticism,32252.jpg
f2e0bf35d07f3e838e2ff40956032ed3,Romanticism,81776.jpg
5d6136636d3015e201f6096d67c89860,Romanticism,25480.jpg
5d6136636d3015e201f6096d67c89860,Romanticism,56338.jpg
74a1dad53214d04514269a188f16683a,Impressionism,99956.jpg
f2e0bf35d07f3e838e2ff40956032ed3,Romanticism,85839.jpg
5d6136636d3015e201f6096d67c89860,Romanticism,30031.jpg
f2e0bf35d07f3e838e2ff40956032ed3,Romanticism,28530.jpg
5d6136636d3015e201f6096d67c89860,Romanticism,47838.jpg
5d6136636d3015e201f6096d67c89860,Romanticism,38694.jpg
9090afd20e389e70297c717bb5c8d906,Romanticism,23382.jpg
5d6136636d3015e201f6096d67c89860,Romanticism,186.jpg
facb8013e0ad77b41ecbdf661f440c03,Romanticism,40401.jpg
f8eb8562e3a8e1961e35893052a3da7e,Realism,57598.jpg
5d6136636d3015e201f6096d67c89860,Romanticism,50103.jpg
24ed88087b0ffeb763e89a197a5cde0d,Impressionism,93353.jpg
13fb1d497e1759ed5311c5222fb02685,Realism,26366.jpg
5d6136636d3015e201f6096d67c89860,Romanticism,28188.jpg
d8a3c897c506be7de91d8f892f14f934,Realism,77220.jpg
358474690052f63f9107c823b7a61686,Romanticism,4771.jpg
b60aa1ea22ccf54d9fe50f892e9f28ab,Impressionism,95477.jpg
5d6136636d3015e201f6096d67c89860,Romanticism,97187.jpg
5d6136636d3015e201f6096d67c89860,Romanticism,31199.jpg
5d6136636d3015e201f6096d67c89860,Romanticism,50355.jpg
3cbc8bc4a88d67bda34c2d436212e2cf,Realism,21812.jpg
1c5808517b3b9560b277eaae7adfabfc,Romanticism,27639.jpg
7b5a9186df853ff921c211145ca5ab59,Realism,70892.jpg
77c3909abd4fd46acc935544227f1e0f,Romanticism,49766.jpg
6e606cd9cf9660466b26b6c94f6d7240,Realism,75881.jpg
8a1a67964c0cbea29fc9801b5c42c553,Realism,71922.jpg
fd49efbf7ff085035ed05b97d1cdcd12,Realism,28789.jpg
5d6136636d3015e201f6096d67c89860,Romanticism,78023.jpg
74a1dad53214d04514269a188f16683a,Realism,72083.jpg
d8a3c897c506be7de91d8f892f14f934,Realism,70088.jpg
0aa40001869bf1e86a1bdae741f79220,Romanticism,36027.jpg
1c3585c12e0917cda33d523cf5f23b10,Romanticism,13273.jpg
5d6136636d3015e201f6096d67c89860,Romanticism,84515.jpg
5d6136636d3015e201f6096d67c89860,Romanticism,27205.jpg
5fc2ffdd3d24ab503edd9a271dc379bd,Realism,60161.jpg
f2e0bf35d07f3e838e2ff40956032ed3,Romanticism,70005.jpg
9b3a35b3cdf587fe1ec4c374f145df0e,Romanticism,7224.jpg
1a8d67dbb446bdc4298cc0be56932a38,Impressionism,41682.jpg
1a8d67dbb446bdc4298cc0be56932a38,Impressionism,37256.jpg
f02369856dac75a59c92393f5a1f1912,Impressionism,54668.jpg
85a0c03bcbe27be6d6166b4f4833b55a,Realism,67798.jpg
76cd369cddf78f33b853fa53077ac113,Realism,102940.jpg
5d6136636d3015e201f6096d67c89860,Romanticism,99285.jpg
f2e0bf35d07f3e838e2ff40956032ed3,Romanticism,64419.jpg
74a1dad53214d04514269a188f16683a,Realism,18398.jpg
f2e0bf35d07f3e838e2ff40956032ed3,Romanticism,9158.jpg
d09f796f2b0aa11dffc88badd9806119,Romanticism,82140.jpg
5d6136636d3015e201f6096d67c89860,Romanticism,50272.jpg
acd9b34941d5485b6ffcf6836e07149f,Romanticism,13889.jpg
d8a3c897c506be7de91d8f892f14f934,Realism,28179.jpg
f2e0bf35d07f3e838e2ff40956032ed3,Romanticism,2918.jpg
f2e0bf35d07f3e838e2ff40956032ed3,Romanticism,28187.jpg
f2e0bf35d07f3e838e2ff40956032ed3,Romanticism,74753.jpg
5f766392b0bb21a9a771c4675efccd5f,Romanticism,1658.jpg
b60aa1ea22ccf54d9fe50f892e9f28ab,Impressionism,19464.jpg
dd4989789d310581024ae2b9203d5439,Impressionism,3016.jpg
db1318d32df7428076e03513ebf762bb,Realism,78766.jpg
f2e0bf35d07f3e838e2ff40956032ed3,Romanticism,55154.jpg
