artist,style,new_filename
Ivan Aivazovsky,Romanticism,99442.jpg
Julius LeBlanc Stewart,Realism,28908.jpg
Gustave Dore,Romanticism,7486.jpg
Gustave Dore,Romanticism,35766.jpg
William Turner,Romanticism,56906.jpg
Thomas Eakins,Realism,633.jpg
Ivan Aivazovsky,Romanticism,81750.jpg
William-Adolphe Bouguereau,Realism,19834.jpg
Thomas Eakins,Realism,45276.jpg
Ferdinand Hodler,Romanticism,75895.jpg
Ferdinand Hodler,Realism,80938.jpg
Rudolf von Alt,Romanticism,71952.jpg
Rudolf von Alt,Romanticism,7020.jpg
Ferdinand Hodler,Realism,23209.jpg
Ferdinand Hodler,Realism,100829.jpg
Edgar Degas,Impressionism,95360.jpg
Franz Richard Unterberger,Romanticism,3732.jpg
Akseli Gallen-Kallela,Romanticism,62387.jpg
Alfred Stevens,Romanticism,22404.jpg
Karl Bodmer,Romanticism,41164.jpg
Ferdinand Hodler,Realism,88558.jpg
Claude Monet,Impressionism,49757.jpg
Ferdinand Hodler,Romanticism,45523.jpg
Thomas Eakins,Realism,17680.jpg
Karl Bodmer,Romanticism,62013.jpg
Ferdinand Hodler,Realism,47501.jpg
Karl Bodmer,Romanticism,95342.jpg
Paul Signac,Impressionism,53841.jpg
Karl Bodmer,Romanticism,99889.jpg
Thomas Eakins,Realism,86917.jpg
Konstantin Somov,Realism,5303.jpg
Karl Bodmer,Romanticism,50480.jpg
Rudolf von Alt,Romanticism,39644.jpg
Ferdinand Hodler,Romanticism,101078.jpg
Thomas Eakins,Realism,49829.jpg
Koloman Moser,Realism,97649.jpg
Karl Bodmer,Romanticism,46316.jpg
Paul Signac,Impressionism,81912.jpg
Ferdinand Hodler,Impressionism,17146.jpg
Thomas Eakins,Realism,31655.jpg
Karl Bodmer,Romanticism,44054.jpg
Karl Bodmer,Romanticism,79781.jpg
Francisco Goya,Romanticism,82310.jpg
David Wilkie,Romanticism,39533.jpg
Karl Bodmer,Romanticism,95359.jpg
Valentin Serov,Impressionism,5241.jpg
Pierre-Paul Prud'hon,Romanticism,25503.jpg
Karl Bodmer,Romanticism,89279.jpg
Pavel Fedotov,Realism,55948.jpg
Ivan Kramskoy,Realism,8362.jpg
Theophile Steinlen,Realism,9348.jpg
Thomas Cole,Romanticism,25251.jpg
Ferdinand Hodler,Impressionism,8943.jpg
Rudolf von Alt,Romanticism,35557.jpg
Ferdinand Hodler,Realism,17862.jpg
Thomas Eakins,Realism,40855.jpg
Nicolae Grigorescu,Realism,393.jpg
Eugene von Guerard,Romanticism,1049.jpg
Anders Zorn,Realism,254.jpg
Paul Signac,Impressionism,8250.jpg
Rudolf von Alt,Romanticism,47312.jpg
Rudolf von Alt,Romanticism,32252.jpg
Karl Bodmer,Romanticism,81776.jpg
Rudolf von Alt,Romanticism,25480.jpg
Rudolf von Alt,Romanticism,56338.jpg
Ferdinand Hodler,Impressionism,99956.jpg
Karl Bodmer,Romanticism,85839.jpg
Rudolf von Alt,Romanticism,30031.jpg
Karl Bodmer,Romanticism,28530.jpg
Rudolf von Alt,Romanticism,47838.jpg
Rudolf von Alt,Romanticism,38694.jpg
Leon Bonnat,Romanticism,23382.jpg
Rudolf von Alt,Romanticism,186.jpg
Theodore Gericault,Romanticism,40401.jpg
Konstantinos Volanakis,Realism,57598.jpg
Rudolf von Alt,Romanticism,50103.jpg
Berthe Morisot,Impressionism,93353.jpg
Fyodor Bronnikov,Realism,26366.jpg
Rudolf von Alt,Romanticism,28188.jpg
Theophile Steinlen,Realism,77220.jpg
Orest Kiprensky,Romanticism,4771.jpg
Paul Signac,Impressionism,95477.jpg
Rudolf von Alt,Romanticism,97187.jpg
Rudolf von Alt,Romanticism,31199.jpg
Rudolf von Alt,Romanticism,50355.jpg
Thomas Eakins,Impressionism,71149.jpg
Honore Daumier,Realism,21812.jpg
Vasily Tropinin,Romanticism,27639.jpg
Thomas Eakins,Realism,70892.jpg
John Glover,Romanticism,49766.jpg
Winslow Homer,Realism,75881.jpg
Ivan Shishkin,Realism,71922.jpg
Pavel Fedotov,Realism,28789.jpg
Rudolf von Alt,Romanticism,78023.jpg
Ferdinand Hodler,Realism,72083.jpg
Theophile Steinlen,Realism,70088.jpg
Alfred Stevens,Romanticism,36027.jpg
Luc-Olivier Merson,Romanticism,13273.jpg
Rudolf von Alt,Romanticism,84515.jpg
Rudolf von Alt,Romanticism,27205.jpg
Camille Corot,Realism,60161.jpg
Karl Bodmer,Romanticism,70005.jpg
Alexander Ivanov,Romanticism,7224.jpg
Claude Monet,Impressionism,41682.jpg
Claude Monet,Impressionism,37256.jpg
Giuseppe de Nittis,Impressionism,54668.jpg
Thomas Eakins,Realism,94592.jpg
Alexey Venetsianov,Realism,67798.jpg
Nikolai Ge,Realism,102940.jpg
Rudolf von Alt,Romanticism,99285.jpg
Karl Bodmer,Romanticism,64419.jpg
Ferdinand Hodler,Realism,18398.jpg
Karl Bodmer,Romanticism,9158.jpg
Ivan Aivazovsky,Romanticism,82140.jpg
Rudolf von Alt,Romanticism,50272.jpg
Ferdinand Georg Waldmüller,Romanticism,13889.jpg
Theophile Steinlen,Realism,28179.jpg
Karl Bodmer,Romanticism,2918.jpg
Karl Bodmer,Romanticism,28187.jpg
Karl Bodmer,Romanticism,74753.jpg
Viktor Vasnetsov,Romanticism,1658.jpg
Paul Signac,Impressionism,19464.jpg
Pierre-Auguste Renoir,Impressionism,3016.jpg
Odilon Redon,Realism,78766.jpg
Karl Bodmer,Romanticism,55154.jpg
Thomas Eakins,Realism,62530.jpg
Claude Monet,Impressionism,56641.jpg
Thomas Eakins,Realism,64311.jpg
Ferdinand Hodler,Romanticism,44166.jpg
Childe Hassam,Impressionism,3632.jpg
Caspar David Friedrich,Romanticism,10590.jpg
Karl Bodmer,Romanticism,67530.jpg
Karl Bodmer,Romanticism,23375.jpg
Claude Monet,Impressionism,52850.jpg
Camille Corot,Realism,90288.jpg
Thomas Eakins,Realism,38869.jpg
Ferdinand Hodler,Impressionism,36350.jpg
Rudolf von Alt,Romanticism,39893.jpg
Claude Monet,Impressionism,97356.jpg
William-Adolphe Bouguereau,Realism,94550.jpg
Thomas Eakins,Realism,9125.jpg
Edgar Degas,Impressionism,92192.jpg
Ivan Aivazovsky,Romanticism,74871.jpg
Honore Daumier,Realism,92742.jpg
Marcus Larson,Romanticism,90330.jpg
Karl Bodmer,Romanticism,63088.jpg
Honore Daumier,Realism,41435.jpg
Karl Bodmer,Romanticism,70111.jpg
James Tissot,Realism,19749.jpg
Karl Bodmer,Romanticism,82629.jpg
Karl Bodmer,Romanticism,50266.jpg
Alfred Sisley,Impressionism,98622.jpg
Jean-Francois Millet,Realism,1534.jpg
James Tissot,Realism,40152.jpg
Vasily Vereshchagin,Realism,88038.jpg
Luc-Olivier Merson,Romanticism,84112.jpg
Rudolf von Alt,Romanticism,97158.jpg
Alfred Sisley,Impressionism,46324.jpg
Rudolf von Alt,Romanticism,16621.jpg
John Constable,Romanticism,100300.jpg
Ferdinand Hodler,Realism,2807.jpg
Karl Bodmer,Romanticism,47410.jpg
Rudolf von Alt,Romanticism,46637.jpg
Konstantinos Volanakis,Realism,31283.jpg
James Tissot,Realism,55651.jpg
Taras Shevchenko,Romanticism,72004.jpg
Arthur Hughes,Romanticism,4519.jpg
John William Waterhouse,Romanticism,59656.jpg
James Tissot,Realism,101178.jpg
William Turner,Romanticism,95078.jpg
Gustav Klimt,Realism,102518.jpg
Ferdinand Georg Waldmüller,Romanticism,8320.jpg
William Turner,Romanticism,62893.jpg
Nicolae Grigorescu,Realism,74814.jpg
William Turner,Romanticism,31790.jpg
Rudolf von Alt,Romanticism,77838.jpg
Paul Cezanne,Romanticism,30259.jpg
Caspar David Friedrich,Romanticism,64191.jpg
John Singer Sargent,Realism,14128.jpg
Jean-Francois Millet,Realism,75659.jpg
Theophile Steinlen,Realism,14749.jpg
Vasily Surikov,Realism,50325.jpg
Konstantinos Volanakis,Realism,3238.jpg
Karl Bodmer,Romanticism,7432.jpg
Francesco Hayez,Romanticism,95763.jpg
John Roddam Spencer Stanhope,Romanticism,95347.jpg
Claude Monet,Impressionism,52023.jpg
Edward Burne-Jones,Romanticism,54454.jpg
Orest Kiprensky,Romanticism,87071.jpg
Thomas Eakins,Realism,71531.jpg
Ivan Shishkin,Realism,39817.jpg
John Singer Sargent,Realism,85520.jpg
Karl Bodmer,Romanticism,4742.jpg
Karl Bodmer,Romanticism,10331.jpg
Childe Hassam,Impressionism,21276.jpg
Felix Vallotton ,Realism,5429.jpg
Caspar David Friedrich,Romanticism,33192.jpg
Odilon Redon,Impressionism,48925.jpg
Sir Lawrence Alma-Tadema,Romanticism,98496.jpg
Ferdinand Georg Waldmüller,Romanticism,14968.jpg
Jean-Francois Millet,Realism,40246.jpg
James Tissot,Realism,59451.jpg
Eugene Delacroix,Romanticism,94284.jpg
Thomas Eakins,Realism,17485.jpg
Camille Corot,Realism,82619.jpg
James Tissot,Realism,73331.jpg
Eugene Delacroix,Romanticism,14673.jpg
Konstantinos Volanakis,Realism,62024.jpg
